Entry	Entry Name	Reviewed	Protein names	Gene Names	Organism	Length
G4T4R7	AGASK_RUMGN	reviewed	Bifunctional alpha-galactosidase/sucrose kinase AgaSK [Includes: Alpha-galactosidase (EC 3.2.1.22) (Melibiase); Sucrose kinase (EC 2.7.-.-)]	agaSK RUGNEv3_61222	Ruminococcus gnavus	935
G5ELM1	G5ELM1_BIFBI	unreviewed	Alpha-N-acetylgalactosaminidase (EC 3.2.1.-)	nagBb	Bifidobacterium bifidum	634
G8JZS4	SUSB_BACTN	reviewed	Glucan 1,4-alpha-glucosidase SusB (EC 3.2.1.3) (Alpha-glucosidase SusB) (Glucoamylase SusB) (Starch-utilization system protein B)	susB BT_3703	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	738
G9BEX6	G9BEX6_PRIMG	unreviewed	Soluble epoxide hydrolase (EC 3.2.2.10)		Priestia megaterium (Bacillus megaterium)	287
H3SPM3	H3SPM3_9BACL	unreviewed	Chitosanase (EC 3.2.1.132)	PDENDC454_27668	Paenibacillus dendritiformis C454	299
H6QM75	H6QM75_I09A8	unreviewed	Neuraminidase (EC 3.2.1.18)	NA	Influenza A virus (strain A/little yellow-shouldered bat/Guatemala/153/2009(H17N10))	442
H9KVH3	H9KVH3_9BACL	unreviewed	cellulase (EC 3.2.1.4)		Paenibacillus pabuli	395
I1SB08	I1SB08_HETAN	unreviewed	Glucanase (EC 3.2.1.-)		Heterobasidion annosum (Root rot fungus) (Polyporus annosus)	440
I2FI81	I2FI81_EISFE	unreviewed	Endoglucanase (EC 3.2.1.4)	EF-EG2	Eisenia fetida (Red wiggler worm)	456
I6L8L7	I6L8L7_TETTH	unreviewed	poly(ADP-ribose) glycohydrolase (EC 3.2.1.143)		Tetrahymena thermophila	457
I6XEI5	LYS25_MYCTU	reviewed	Putative peptidoglycan hydrolase Rv2525c (EC 3.2.1.17)	Rv2525c LH57_13835	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	240
I7HXG2	I7HXG2_9CAUD	unreviewed	Phi92_gp143 (EC 3.2.1.129)	PHI92_gene_143 PHI92_143	Escherichia phage phi92	918
J8G8J6	THSB1_BACCS	reviewed	Putative cyclic ADP-D-ribose synthase ThsB1 (Putative cADPR synthase ThsB1) (EC 3.2.2.-) (Thoeris protein ThsB)	thsB1 thsB II9_05449	Bacillus cereus (strain MSX-D12)	192
J9UN47	J9UN47_GIBZA	unreviewed	alpha-L-fucosidase (EC 3.2.1.51)	FCO1 MDCFG593_LOCUS224985	Gibberella zeae (Wheat head blight fungus) (Fusarium graminearum)	609
K2PFJ6	DARTG_THEA7	reviewed	DNA ADP-ribosyl transferase-DNA ADP-ribosyl glycohydrolase fusion protein (DarTG) (EC 2.4.2.-) (EC 3.2.2.-)	darTG H17ap60334_07413	Thermosipho africanus (strain H17ap60334)	388
K5BDL0	GGH_MYCHD	reviewed	Glucosylglycerate hydrolase (GG hydrolase) (EC 3.2.1.208)	ggh C731_0006	Mycolicibacterium hassiacum (strain DSM 44199 / CIP 105218 / JCM 12690 / 3849) (Mycobacterium hassiacum)	446
L0N7E5	L0N7E5_BETVU	unreviewed	Alpha-glucosidase (EC 3.2.1.20)	Agl	Beta vulgaris (Sugar beet)	913
L7N6B0	LPQI_MYCTU	reviewed	Beta-hexosaminidase LpqI (EC 3.2.1.52) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase)	lpqI Rv0237	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	388
L7P9J4	UH105_NONUL	reviewed	Unsaturated 3S-rhamnoglycuronyl hydrolase (EC 3.2.1.-) (Ulvan hydrolase) (Unsaturated beta-glucuronyl hydrolase) (UGL)	IL45_01505	Nonlabens ulvanivorans (Persicivirga ulvanivorans)	377
L7SVX1	L7SVX1_RHIMI	unreviewed	mannan endo-1,4-beta-mannosidase (EC 3.2.1.78)	Man5A	Rhizomucor miehei	378
M1E1E9	M1E1E9_CELCE	unreviewed	Ccman5 (EC 3.2.1.24)		Cellulosimicrobium cellulans (Arthrobacter luteus)	748
O05442	CPNT_MYCTU	reviewed	Outer membrane channel protein CpnT (Channel protein with necrosis-inducing toxin) [Cleaved into: N-terminal channel domain; Tuberculosis necrotizing toxin (TNT) (NAD(+) glycohydrolase) (EC 3.2.2.5)]	cpnT Rv3903c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	846
O05495	YDHD_BACSU	reviewed	Putative sporulation-specific glycosylase YdhD (EC 3.2.-.-)	ydhD BSU05710	Bacillus subtilis (strain 168)	420
O06496	O06496_CLOPF	unreviewed	Cortical-lytic enzyme (Muramidase (EC 3.2.1.17))	sleM acm CYK96_10900 G6Z34_02365 NCTC10578_01557 NCTC10719_02777 NCTC3182_02747	Clostridium perfringens	321
O15527	OGG1_HUMAN	reviewed	N-glycosylase/DNA lyase [Includes: 8-oxoguanine DNA glycosylase (EC 3.2.2.-); DNA-(apurinic or apyrimidinic site) lyase (AP lyase) (EC 4.2.99.18)]	OGG1 MMH MUTM OGH1	Homo sapiens (Human)	345
O28751	Y1521_ARCFU	reviewed	ADP-ribose glycohydrolase AF_1521 ([Protein ADP-ribosylaspartate] hydrolase AF_1521) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase AF_1521) (EC 3.2.2.-)	AF_1521	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	192
O33840	PULA_THEMA	reviewed	Pullulanase (EC 3.2.1.41) (Alpha-dextrin endo-1,6-alpha-glucosidase) (Pullulan 6-glucanohydrolase)	pulA TM_1845	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	843
O33853	O33853_RHOSO	unreviewed	Endoglycoceramidase II (EC 3.2.1.123)		Rhodococcus sp	490
O34559	URHG2_BACSU	reviewed	Unsaturated rhamnogalacturonyl hydrolase YteR (URH) (EC 3.2.1.172)	yteR BSU30120	Bacillus subtilis (strain 168)	373
O35820	DNPH1_RAT	reviewed	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 (EC 3.2.2.-) (Deoxyribonucleoside 5'-monophosphate N-glycosidase) (c-Myc-responsive protein Rcl)	Dnph1 Rcl	Rattus norvegicus (Rat)	163
O43451	MGA_HUMAN	reviewed	Maltase-glucoamylase (Alpha-1,4-glucosidase) (EC 3.2.1.20)	MGAM MGA MGAML	Homo sapiens (Human)	2753
O44049	O44049_TRYRA	unreviewed	Sialidase (EC 3.2.1.18)		Trypanosoma rangeli	660
O50152	O50152_STRGR	unreviewed	Chitinase C (EC 3.2.1.14)	chiC NCTC13033_02762	Streptomyces griseus	294
O53605	DARG_MYCTU	reviewed	DNA ADP-ribosyl glycohydrolase (DarG) (EC 3.2.2.-) (Antitoxin DarG)	darG Rv0060	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	352
O54161	EABF_STRCO	reviewed	Extracellular exo-alpha-L-arabinofuranosidase (ABF) (EC 3.2.1.55) (Arabinosidase) (Arabinoxylan arabinofuranohydrolase)	abfB SCO5932 SC7H1.02	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	475
O60502	OGA_HUMAN	reviewed	Protein O-GlcNAcase (OGA) (EC 3.2.1.169) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (Meningioma-expressed antigen 5) (N-acetyl-beta-D-glucosaminidase) (N-acetyl-beta-glucosaminidase) (Nuclear cytoplasmic O-GlcNAcase and acetyltransferase) (NCOAT)	OGA HEXC KIAA0679 MEA5 MGEA5	Homo sapiens (Human)	916
O69315	BGAL_THETH	reviewed	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)		Thermus thermophilus	645
O74706	EGLB_ASPNG	reviewed	Endo-beta-1,4-glucanase B (Endoglucanase B) (EC 3.2.1.4) (Carboxymethylcellulase B) (Cellulase B)	eglB eng1	Aspergillus niger	331
O80358	FPG_ARATH	reviewed	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase FPG1) (Formamidopyrimidine-DNA glycosylase 1) (AtFPG-1) (Formamidopyrimidine-DNA glycosylase 2) (AtFPG-2) (Protein MutM homolog 1) (AtMMH-1) (Protein MutM homolog 2) (AtMMH-2)	FPG1 FPG2 At1g52500 F6D8.28	Arabidopsis thaliana (Mouse-ear cress)	390
O81100	O81100_SOLLC	unreviewed	Beta-galactosidase (EC 3.2.1.23)	TBG4	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	724
P00691	AMY_BACSU	reviewed	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	amyE amyA BSU03040	Bacillus subtilis (strain 168)	659
P00719	LYG_STRCA	reviewed	Lysozyme g (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase) (Goose-type lysozyme)		Struthio camelus (Common ostrich)	204
P04067	EBAG_STRPL	reviewed	Endo-beta-N-acetylglucosaminidase H (EC 3.2.1.96) (DI-N-acetylchitobiosyl beta-N-acetylglucosaminidase H) (Endoglycosidase H) (Endo H) (Mannosyl-glycoprotein endo-beta-N-acetyl-glucosaminidase H)		Streptomyces plicatus	313
P04395	3MG2_ECOLI	reviewed	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)	alkA aidA b2068 JW2053	Escherichia coli (strain K12)	282
P04418	END5_BPT4	reviewed	Endonuclease V (EC 3.2.2.17) (DNA-(apurinic or apyrimidinic site) lyase) (AP lyase) (EC 4.2.99.18) (T4 pyrimidine dimer glycosylase) (T4-Pdg)		Enterobacteria phage T4 (Bacteriophage T4)	138
P04824	MEL1_YEASX	reviewed	Alpha-galactosidase 1 (EC 3.2.1.22) (Alpha-D-galactoside galactohydrolase 1) (Melibiase 1)	MEL1	Saccharomyces cerevisiae (Baker's yeast)	471
P05523	FPG_ECOLI	reviewed	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	mutM fpg b3635 JW3610	Escherichia coli (strain K12)	269
P05656	SACC_BACSU	reviewed	Levanase (EC 3.2.1.80) (Beta-D-fructofuranosidase) (Exo-beta-D-fructosidase) (Exo-levanase)	sacC BSU27030	Bacillus subtilis (strain 168)	677
P06564	GUN_HALA3	reviewed	Endoglucanase (EC 3.2.1.4) (Alkaline cellulase) (Endo-1,4-beta-glucanase)		Halalkalibacter akibai (strain ATCC 43226 / DSM 21942 / CIP 109018 / JCM 9157 / 1139) (Bacillus akibai)	800
P06865	HEXA_HUMAN	reviewed	Beta-hexosaminidase subunit alpha (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit alpha) (Hexosaminidase subunit A) (N-acetyl-beta-glucosaminidase subunit alpha)	HEXA	Homo sapiens (Human)	529
P07982	GUN2_HYPJE	reviewed	Endoglucanase EG-II (EGII) (EC 3.2.1.4) (Cellulase) (Endo-1,4-beta-glucanase)	egl2	Hypocrea jecorina (Trichoderma reesei)	418
P08017	AMYG_SACFI	reviewed	Glucoamylase GLU1 (EC 3.2.1.3) (1,4-alpha-D-glucan glucohydrolase) (Glucan 1,4-alpha-glucosidase)	GLU1	Saccharomycopsis fibuligera (Yeast)	519
P09963	ENLYS_BPP22	reviewed	Endolysin (EC 3.2.1.17) (Lysis protein) (Lysozyme) (Muramidase)	19	Salmonella phage P22 (Bacteriophage P22)	146
P0A9H1	MUG_ECOLI	reviewed	G/U mismatch-specific DNA glycosylase (EC 3.2.2.28) (Double-strand-specific uracil glycosylase) (Mismatch-specific uracil DNA-glycosylase) (MUG)	mug ygjF b3068 JW3040	Escherichia coli (strain K12)	168
P0ADR8	PPNN_ECOLI	reviewed	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase (EC 3.2.2.-) (EC 3.2.2.10) (AMP nucleosidase) (EC 3.2.2.4) (CMP nucleosidase) (GMP nucleosidase) (IMP nucleosidase) (UMP nucleosidase) (dTMP nucleosidase)	ppnN ygdH b2795 JW2766	Escherichia coli (strain K12)	454
P0AE12	AMN_ECOLI	reviewed	AMP nucleosidase (EC 3.2.2.4)	amn b1982 JW1963	Escherichia coli (strain K12)	484
P0C2S1	CELK_ACETH	reviewed	Cellulose 1,4-beta-cellobiosidase (EC 3.2.1.91)	celK	Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum)	895
P0C2S3	GUNC_ACETH	reviewed	Endoglucanase C (EC 3.2.1.4) (Cellulase C) (Endo-1,4-beta-glucanase C) (EgC)	celC	Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum)	343
P0C6E9	NANH_VIBCH	reviewed	Sialidase (EC 3.2.1.18) (Neuraminidase) (NANase)	nanH VC_1784	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	781
P0DUE1	STING_CRAGI	reviewed	Stimulator of interferon genes protein (TIR-STING) (Probable NAD(+) hydrolase) (EC 3.2.2.6)		Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	415
P0DW93	LNBX_BIFL2	reviewed	Lacto-N-biosidase (LNBase) (EC 3.2.1.140)	lnbX BLLJ_1505	Bifidobacterium longum subsp. longum (strain ATCC 15707 / DSM 20219 / JCM 1217 / NCTC 11818 / E194b)	1599
P10186	UNG_HHV11	reviewed	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27) (UNG)	UL2	Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1)	334
P10342	ISOA_PSEAY	reviewed	Isoamylase (EC 3.2.1.68)	iam	Pseudomonas amyloderamosa	776
P10477	CELE_ACET2	reviewed	Cellulase/esterase CelE (CtCel5C-CE2) [Includes: Cellulase E (EC 3.2.1.4) (CtCel5C) (Endo-1,4-beta-glucanase E) (EGE) (Endoglucanase E); Acetylxylan esterase / glucomannan deacetylase (EC 3.1.1.-) (EC 3.1.1.72) (CtCE2)]	celE Cthe_0797	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum)	814
P10537	AMYB_IPOBA	reviewed	Beta-amylase (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase)	BMY1 AMYB	Ipomoea batatas (Sweet potato) (Convolvulus batatas)	499
P11218	AGI_URTDI	reviewed	Lectin/endochitinase 1 (EC 3.2.1.14) (Agglutinin) (UDA) (chia5.1.1) [Cleaved into: Lectin 1]	UDA1	Urtica dioica (Great nettle) (Stinging nettle)	372
P11376	LYSC1_HORSE	reviewed	Lysozyme C, milk isozyme (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)	LYZ	Equus caballus (Horse)	129
P11797	CHIB_SERMA	reviewed	Chitinase B (EC 3.2.1.14)	chiB	Serratia marcescens	499
P12257	GUB2_HORVU	reviewed	Lichenase-2 (EC 3.2.1.73) ((1->3,1->4)-beta-glucanase isoenzyme EII) (Endo-beta-1,3-1,4 glucanase II) (Lichenase II)		Hordeum vulgare (Barley)	312
P12528	FIBER_BPP22	reviewed	Tail spike protein (TSP) (Endo-1,3-alpha-L-rhamnosidase) (EC 3.2.1.-) (Endorhamnosidase) (Gene product 9) (gp9)	9	Salmonella phage P22 (Bacteriophage P22)	667
P12558	HN_NDVU	reviewed	Hemagglutinin-neuraminidase (EC 3.2.1.18)	HN	Newcastle disease virus (strain Chicken/Northern Ireland/Ulster/67) (NDV)	616
P12888	UNG_EBVB9	reviewed	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27) (UNG)	UNG BKRF3	Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)	255
P13482	TREA_ECOLI	reviewed	Periplasmic trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase) (Tre37A)	treA osmA b1197 JW1186	Escherichia coli (strain K12)	565
P13507	AMT4_STUST	reviewed	Glucan 1,4-alpha-maltotetraohydrolase (G4-amylase) (EC 3.2.1.60) (Exo-maltotetraohydrolase) (Maltotetraose-forming amylase) (Maltotetraose-forming exo-amylase)	amyP	Stutzerimonas stutzeri (Pseudomonas stutzeri)	548
P14002	BGLB_ACET2	reviewed	Thermostable beta-glucosidase B (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)	bglB Cthe_1256	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum)	755
P14090	GUNC_CELFA	reviewed	Endoglucanase C (EC 3.2.1.4) (Cellulase C) (Endo-1,4-beta-glucanase C)	cenC Celf_1537	Cellulomonas fimi (strain ATCC 484 / DSM 20113 / JCM 1341 / NBRC 15513 / NCIMB 8980 / NCTC 7547)	1101
P14300	DRAG_RHORU	reviewed	ADP-ribosyl-[dinitrogen reductase] glycohydrolase (ADP-ribosylglycohydrolase) (EC 3.2.2.24) (Dinitrogenase reductase-activating glycohydrolase) (Mono-ADP-ribosylhydrolase)	draG	Rhodospirillum rubrum	294
P14410	SUIS_HUMAN	reviewed	Sucrase-isomaltase, intestinal [Cleaved into: Sucrase (EC 3.2.1.48); Isomaltase (EC 3.2.1.10)]	SI	Homo sapiens (Human)	1827
P15057	LYS_BPCP1	reviewed	Lysozyme (EC 3.2.1.17) (CP-1 lysin) (Endolysin) (Muramidase)	CPL1 22	Streptococcus phage Cp-1 (Bacteriophage Cp-1)	339
P15132	GP13_BPPH2	reviewed	Morphogenesis protein 1 (Gene product 13) (gp13) (Protein p13) [Includes: Lysozyme-like glycosidase (EC 3.2.1.-); Probable metalloendopeptidase (EC 3.4.-.-)]	13	Bacillus phage phi29 (Bacteriophage phi-29)	365
P15316	HYLP1_BPH44	reviewed	Hyaluronoglucosaminidase (Hyaluronidase) (EC 3.2.1.35)	HYLP1 HYLP	Streptococcus pyogenes phage H4489A	371
P15329	GUNX_ACETH	reviewed	Putative endoglucanase X (EGX) (EC 3.2.1.4) (Cellulase) (Endo-1,4-beta-glucanase)	celX	Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum)	224
P15931	FLGJ_SALTY	reviewed	Peptidoglycan hydrolase FlgJ (EC 3.2.1.-) (Muramidase FlgJ)	flgJ fla FX flaZ STM1182	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	316
P16009	NEEDL_BPT4	reviewed	Pre-baseplate central spike protein Gp5 (Pre-Gp5) (Peptidoglycan hydrolase gp5) (EC 3.2.1.17) [Cleaved into: Baseplate central spike protein Gp5* (Mature Gp5); Gp5C]	5	Enterobacteria phage T4 (Bacteriophage T4)	575
P16218	GUNH_ACET2	reviewed	Endoglucanase H (EC 3.2.1.4) (Cellulase H) (Endo-1,4-beta-glucanase H) (EgH)	celH Cthe_1472	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum)	900
P17654	AMY1_ORYSJ	reviewed	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (Alpha-amylase isozyme 1B)	AMY1.1 AMY1A Os02g0765600 LOC_Os02g52710 OJ1004_A11.13 P0539D10.32	Oryza sativa subsp. japonica (Rice)	434
P17802	MUTY_ECOLI	reviewed	Adenine DNA glycosylase (EC 3.2.2.31) (A/G-specific adenine glycosylase)	mutY micA b2961 JW2928	Escherichia coli (strain K12)	350
P17901	GUNA_RUMCH	reviewed	Endoglucanase A (EC 3.2.1.4) (Cellulase A) (EGCCA) (Endo-1,4-beta-glucanase A)	celCCA Ccel_1099	Ruminiclostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10) (Clostridium cellulolyticum)	475
P17989	GUB_FIBSS	reviewed	Beta-glucanase (EC 3.2.1.73) (1,3-1,4-beta-D-glucan 4-glucanohydrolase) (Endo-beta-1,3-1,4 glucanase) (Lichenase) (Mixed linkage beta-glucanase)	Fisuc_2961 FSU_0226	Fibrobacter succinogenes (strain ATCC 19169 / S85)	349
P19424	GUN_BACS6	reviewed	Endoglucanase (EC 3.2.1.4) (Alkaline cellulase) (Endo-1,4-beta-glucanase)		Bacillus sp. (strain KSM-635)	941
P19487	GUNA_XANCP	reviewed	Major extracellular endoglucanase (EC 3.2.1.4) (Cellulase) (Endo-1,4-beta-glucanase)	engXCA XCC3521	Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25)	484
P19531	AMYM_GEOSE	reviewed	Maltogenic alpha-amylase (EC 3.2.1.133) (Glucan 1,4-alpha-maltohydrolase)	amyM	Geobacillus stearothermophilus (Bacillus stearothermophilus)	719
P20533	CHIA1_NIACI	reviewed	Chitinase A1 (EC 3.2.1.14)	chiA1	Niallia circulans (Bacillus circulans)	699
P20974	NAR2B_RAT	reviewed	T-cell ecto-ADP-ribosyltransferase 2 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 2) (ARTC2) (Alloantigen Rt6.2) (Mono(ADP-ribosyl)transferase 2B) (NAD(+) glycohydrolase) (EC 3.2.2.5) (T-cell NAD(P)(+)--arginine ADP-ribosyltransferase 2) (T-cell mono(ADP-ribosyl)transferase 2) (T-cell surface protein Rt6.2)	Art2b Rt6-b	Rattus norvegicus (Rat)	275
P21543	AMYB_PAEPO	reviewed	Beta/alpha-amylase [Includes: Beta-amylase (EC 3.2.1.2); Alpha-amylase (EC 3.2.1.1)]		Paenibacillus polymyxa (Bacillus polymyxa)	1196
P22244	RIP1_HORVU	reviewed	Protein synthesis inhibitor I (EC 3.2.2.22) (Ribosome-inactivating protein I) (rRNA N-glycosidase)	RIP30	Hordeum vulgare (Barley)	281
P22699	GUN6_DICDI	reviewed	Endoglucanase (EC 3.2.1.4) (Cellulase) (Endo-1,4-beta-glucanase) (Spore germination protein 270-6)	celA DDB_G0271134	Dictyostelium discoideum (Social amoeba)	705
P22855	MAN1_YEAST	reviewed	Alpha-mannosidase (EC 3.2.1.24) (Alpha-D-mannoside mannohydrolase)	AMS1 YGL156W G1861	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1083
P23780	BGAL_MOUSE	reviewed	Beta-galactosidase (EC 3.2.1.23) (Acid beta-galactosidase) (Lactase)	Glb1 Bgl Glb-1	Mus musculus (Mouse)	647
P23904	GUB_PAEMA	reviewed	Beta-glucanase (EC 3.2.1.73) (1,3-1,4-beta-D-glucan 4-glucanohydrolase) (Endo-beta-1,3-1,4 glucanase) (Lichenase)		Paenibacillus macerans (Bacillus macerans)	237
P24817	RIP3_MOMCH	reviewed	Ribosome-inactivating protein beta-momorcharin (B-MMC) (EC 3.2.2.22) (MAP 30) (rRNA N-glycosidase)	MAP30 RIP	Momordica charantia (Bitter gourd) (Balsam pear)	286
P25310	LYSM1_STRGL	reviewed	Lysozyme M1 (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase M1)	acm	Streptomyces globisporus	294
P25718	AMY1_ECOLI	reviewed	Periplasmic alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	malS b3571 JW3543	Escherichia coli (strain K12)	676
P26205	BGLT_TRIRP	reviewed	Cyanogenic beta-glucosidase (EC 3.2.1.21) (Linamarase)	LI	Trifolium repens (Creeping white clover)	425
P26221	GUN4_THEFU	reviewed	Endoglucanase E-4 (EC 3.2.1.4) (Cellulase E-4) (Cellulase E4) (Endo-1,4-beta-glucanase E-4)	celD	Thermobifida fusca (Thermomonospora fusca)	880
P26222	GUN2_THEFU	reviewed	Endoglucanase E-2 (EC 3.2.1.4) (Cellulase E-2) (Cellulase E2) (Endo-1,4-beta-glucanase E-2)	celB	Thermobifida fusca (Thermomonospora fusca)	441
P26509	PGLR2_PECPM	reviewed	Endo-polygalacturonase (EC 3.2.1.15)	pehA W5S_3318	Pectobacterium parmentieri	402
P27359	ENLYS_BPP21	reviewed	SAR-endolysin (EC 3.2.1.17) (Endolysin) (Lysis protein) (Lysozyme) (Muramidase)	R	Enterobacteria phage P21 (Bacteriophage 21) (Bacteriophage P21)	165
P28907	CD38_HUMAN	reviewed	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (EC 3.2.2.-) (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase 1) (ADPRC 1) (Cyclic ADP-ribose hydrolase 1) (cADPR hydrolase 1) (T10) (CD antigen CD38)	CD38	Homo sapiens (Human)	300
P29029	CHIT_YEAST	reviewed	Endochitinase (EC 3.2.1.14) (Soluble cell wall protein 2)	CTS1 SCW2 YLR286C L8003.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	562
P29372	3MG_HUMAN	reviewed	DNA-3-methyladenine glycosylase (EC 3.2.2.21) (3-alkyladenine DNA glycosylase) (3-methyladenine DNA glycosidase) (ADPG) (N-methylpurine-DNA glycosylase)	MPG AAG ANPG MID1	Homo sapiens (Human)	298
P29588	MIG_METTF	reviewed	Thymine/uracil-DNA glycosylase (EC 3.2.2.-) (EC 3.2.2.29) (DNA mismatch glycosylase) (MIG) (G/T mismatches repair enzyme) (Type II nicking enzyme V.MthTI) (V.MthTI)	mig	Methanothermobacter thermautotrophicus (Methanobacterium thermoformicicum)	221
P29717	EXG1_CANAL	reviewed	Glucan 1,3-beta-glucosidase (EC 2.4.1.-) (EC 3.2.1.58) (Exo-1,3-beta-glucanase)	XOG1 EXG EXG1 XOG CAALFM_C102990CA Ca49C10.05 CaO19.10507 CaO19.2990	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	438
P29768	NANH_SALTY	reviewed	Sialidase (EC 3.2.1.18) (N-acylneuraminate glycohydrolase) (Neuraminidase) (NANase) (STNA)	nanH STM0928	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	382
P29957	AMY_PSEHA	reviewed	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	amy	Pseudoalteromonas haloplanktis (Alteromonas haloplanktis)	669
P30176	RIBX_ECOLI	reviewed	N-glycosidase YbiA (EC 3.2.2.-) (Riboflavin biosynthesis intermediates N-glycosidase)	ybiA b0798 JW0783	Escherichia coli (strain K12)	160
P31434	XYLS_ECOLI	reviewed	Alpha-xylosidase (EC 3.2.1.177)	yicI b3656 JW3631	Escherichia coli (strain K12)	772
P32356	TREA_YEAST	reviewed	Cytosolic neutral trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)	NTH1 NTH YDR001C YD8119.07C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	751
P32906	MNS1_YEAST	reviewed	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase (EC 3.2.1.113) (ER alpha-1,2-mannosidase) (Man(9)-alpha-mannosidase)	MNS1 YJR131W J2110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	549
